Nama Produk,Harga,Modal,Barcode,Kategori,Stok,Stok Minimum,Image
Aqua Botol 330 ml,3000,2000,,,,,
Beras Sania 1 kg,24000,10000,,,,,
Chitato Party Pack,26000,6000,,,,,
Indomie Goreng,3000,2500,,,,,
Kopi Kapal Api + Gula,18000,1500,,,,,
Minyak Goreng Sania 2 L,39000,14000,,,,,
Oreo,9000,3500,,,,,
Permen Milkita,13000,300,,,,,
Roti Tawar Sari Roti,14000,9000,,,,,
Rokok Sampoerna,39000,22000,,,,,
Teh Botol,3500,2800,,,,,
Telur Ayam 1kg,29000,1800,,,,,
